,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
413,southeast,5,aug,sat,high,low,veryhigh,low,high,low,low,no,no
414,southwest,4,aug,sun,high,low,veryhigh,high,high,high,low,no,no
415,northeast,6,aug,thu,high,low,high,high,high,low,high,no,yes
416,southeast,3,jul,tue,high,low,mid,low,high,low,low,no,yes
417,southeast,5,mar,wed,high,low,low,high,low,low,high,no,no
418,southwest,4,aug,sun,high,low,high,low,high,low,high,no,yes
419,southwest,5,aug,sun,high,low,mid,low,high,low,low,no,yes
420,northeast,8,aug,wed,high,low,mid,low,high,low,high,no,yes
421,southwest,4,aug,wed,high,low,high,high,high,low,high,no,no
422,northeast,6,jul,sun,low,low,veryhigh,low,high,low,low,no,yes
423,southwest,3,sep,sat,high,low,veryhigh,low,high,high,low,no,yes
424,northeast,6,aug,sat,high,low,veryhigh,low,high,low,low,no,yes
425,southwest,2,aug,thu,high,low,veryhigh,low,high,high,low,no,no
426,northeast,6,aug,thu,high,low,veryhigh,low,high,high,low,no,no
427,southwest,4,aug,mon,high,low,high,low,high,low,low,no,yes
428,southwest,3,aug,thu,high,low,high,high,high,low,high,no,no
429,southwest,4,aug,sun,high,low,mid,low,high,low,low,no,yes
430,southeast,4,sep,thu,low,low,veryhigh,low,high,high,low,no,no
431,southwest,3,aug,sat,high,low,mid,high,high,low,low,no,yes
432,northeast,6,aug,thu,high,low,high,high,high,low,high,no,no
433,southwest,4,aug,sun,high,low,veryhigh,high,high,high,high,no,yes
434,southwest,4,aug,fri,low,low,veryhigh,low,high,high,low,no,no
435,southwest,5,jul,sat,high,low,low,low,high,high,low,no,no
436,northeast,6,aug,mon,high,low,high,low,high,low,low,no,yes
437,northeast,6,aug,sat,low,low,veryhigh,high,low,high,low,no,no
438,southwest,5,aug,sat,high,low,veryhigh,low,high,high,low,no,yes
439,southwest,3,sep,fri,high,low,veryhigh,low,high,high,low,no,yes
440,southwest,4,sep,fri,low,low,veryhigh,low,low,high,low,no,no
441,northeast,6,aug,mon,high,low,high,low,high,low,low,no,yes
442,southeast,5,apr,mon,low,low,low,low,low,high,low,no,yes
443,southwest,2,jul,fri,high,low,low,high,low,high,high,no,no
444,southwest,5,sep,fri,low,low,veryhigh,low,low,high,low,no,yes
445,southwest,5,aug,sun,high,low,low,high,low,high,high,no,no
446,southeast,5,aug,sun,high,low,high,low,high,high,low,no,no
447,southwest,4,mar,wed,high,low,low,high,low,low,high,no,no
448,southeast,4,sep,wed,low,low,veryhigh,high,low,high,low,no,no
449,southeast,4,aug,sun,high,low,mid,low,high,high,high,no,no
450,southwest,5,aug,wed,high,low,high,high,high,high,high,no,yes
451,southwest,4,aug,fri,low,low,mid,high,low,high,high,no,yes
452,southeast,4,aug,mon,high,low,veryhigh,low,low,high,low,no,no
453,southwest,5,aug,thu,low,low,veryhigh,low,low,high,low,no,no
454,southwest,4,aug,thu,high,low,veryhigh,low,low,high,low,no,no
455,southwest,4,jul,mon,high,low,mid,high,low,high,low,no,no
456,southwest,4,aug,thu,high,low,veryhigh,low,low,high,low,no,no
457,southwest,4,aug,wed,high,low,mid,low,high,high,low,no,yes
458,northeast,6,aug,sat,high,low,veryhigh,low,high,high,high,no,yes
459,southeast,4,aug,sat,high,low,veryhigh,low,low,high,high,no,yes
460,southwest,5,aug,sat,high,low,veryhigh,low,high,high,high,no,no
461,northeast,6,aug,sat,high,low,veryhigh,low,high,high,high,no,no
462,southwest,4,sep,sun,high,low,veryhigh,low,low,high,high,no,yes
463,southeast,5,feb,tue,low,low,low,low,low,high,high,no,yes
464,southeast,4,feb,tue,low,low,low,low,low,high,high,no,yes
465,southwest,2,feb,sat,low,low,low,low,low,high,low,no,yes
466,southeast,5,mar,mon,low,low,low,low,low,high,high,no,yes
467,southwest,4,mar,wed,low,low,low,low,low,low,high,no,yes
468,southeast,5,mar,thu,high,low,low,low,low,low,low,no,yes
469,southeast,3,apr,sun,high,low,low,high,low,low,high,no,yes
470,southwest,4,apr,sun,high,low,low,high,low,low,high,no,no
471,southwest,3,may,fri,low,low,low,low,low,low,low,no,yes
472,southeast,3,jun,mon,low,low,low,low,low,high,low,no,yes
473,southeast,4,jun,sat,low,low,low,high,high,high,low,no,yes
474,southwest,3,jun,thu,high,low,low,high,high,low,low,no,yes
475,southwest,5,jun,thu,high,low,low,high,high,low,high,no,yes
476,southwest,3,jul,thu,high,low,low,high,high,low,low,no,yes
477,southwest,3,jul,sun,high,low,low,high,high,high,low,no,yes
478,southeast,4,jul,sun,high,low,low,high,low,high,high,no,yes
479,southeast,4,jul,mon,low,low,low,low,high,high,high,no,yes
480,northeast,9,jul,thu,high,low,mid,high,high,low,high,no,yes
481,southwest,3,jul,thu,high,low,mid,high,high,low,high,no,no
482,southwest,4,aug,sun,high,low,mid,high,high,low,high,no,yes
483,northeast,6,aug,sun,high,low,mid,high,high,low,high,no,no
484,southwest,5,aug,sun,high,low,mid,high,high,low,low,no,yes
485,southwest,4,aug,mon,high,low,mid,high,high,low,low,no,yes
486,southwest,4,aug,tue,high,low,mid,high,high,low,high,no,yes
487,southwest,4,aug,tue,high,low,mid,high,high,low,low,no,yes
488,southwest,4,aug,tue,high,low,mid,high,high,high,high,no,yes
489,southwest,4,aug,wed,high,low,mid,high,high,high,low,no,no
490,southwest,4,aug,wed,high,low,mid,high,high,low,low,no,no
491,southwest,4,aug,thu,high,low,mid,high,high,low,high,no,no
492,southwest,3,aug,fri,high,low,mid,high,high,low,low,no,no
493,southwest,3,aug,fri,high,low,mid,high,high,low,high,no,yes
494,northeast,6,aug,sat,high,low,mid,high,high,low,high,no,yes
495,northeast,6,aug,mon,high,low,mid,high,high,low,low,no,no
496,southwest,5,aug,mon,high,low,mid,high,high,low,low,no,yes
497,southwest,4,aug,tue,high,low,high,high,high,low,low,no,yes
498,southeast,5,aug,tue,high,low,high,high,high,low,low,no,yes
499,southeast,5,aug,tue,high,low,high,high,high,high,high,yes,yes
500,northeast,6,aug,tue,high,low,high,high,high,high,high,yes,no
501,southeast,5,aug,tue,high,low,high,high,high,high,high,yes,no
502,southwest,4,aug,tue,high,low,high,high,high,high,high,yes,no
503,southwest,4,aug,wed,high,low,high,high,high,low,high,no,yes
504,southwest,3,aug,wed,high,low,high,high,high,low,high,no,yes
505,southwest,2,aug,thu,high,low,veryhigh,high,high,low,low,no,yes
506,southwest,2,aug,fri,high,low,veryhigh,low,low,high,high,no,no
507,southwest,4,aug,fri,high,low,veryhigh,low,high,low,low,no,no
508,southwest,2,aug,fri,high,low,veryhigh,low,high,low,low,no,no
509,southwest,4,aug,fri,high,low,veryhigh,low,high,high,high,yes,yes
510,southeast,5,aug,fri,high,low,veryhigh,low,low,high,high,no,yes
511,northeast,6,aug,sun,low,low,high,low,high,low,low,no,no
512,southwest,3,aug,sun,low,low,high,low,high,low,low,no,yes
513,southwest,4,aug,sun,low,low,high,low,high,high,high,no,yes
514,southeast,4,aug,sun,low,low,high,low,high,high,high,no,yes
515,southwest,4,aug,sat,high,low,mid,high,high,low,low,no,no
516,southeast,3,nov,tue,low,low,low,low,low,low,high,no,no
