ID,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
456,2,4,aug,thu,high,low,high,low,low,high,low,no,no
457,1,4,aug,wed,high,low,high,low,high,high,low,no,yes
458,8,6,aug,sat,high,low,high,low,high,high,high,no,yes
459,7,4,aug,sat,high,low,high,low,low,high,high,no,yes
460,2,5,aug,sat,high,low,high,low,high,high,high,no,no
461,8,6,aug,sat,high,low,high,low,high,high,high,no,no
462,1,4,sep,sun,high,low,high,low,low,high,high,no,yes
463,6,5,feb,tue,low,low,low,low,low,high,high,no,yes
464,6,4,feb,tue,low,low,low,low,low,high,high,no,yes
465,2,2,feb,sat,low,low,low,low,low,high,low,no,yes
466,6,5,mar,mon,low,low,low,low,low,high,high,no,yes
467,3,4,mar,wed,low,low,low,low,low,low,high,no,yes
468,6,5,mar,thu,high,low,low,low,low,low,low,no,yes
469,6,3,apr,sun,high,low,low,high,low,low,high,no,yes
470,5,4,apr,sun,high,low,low,high,low,low,high,no,no
471,4,3,may,fri,low,low,low,low,low,low,low,no,yes
472,8,3,jun,mon,low,low,low,low,low,high,low,no,yes
473,9,4,jun,sat,low,low,low,high,high,high,low,no,yes
474,4,3,jun,thu,high,low,low,high,high,low,low,no,yes
475,2,5,jun,thu,high,low,low,high,high,low,high,no,yes
476,4,3,jul,thu,high,low,low,high,high,low,low,no,yes
477,4,3,jul,sun,high,low,low,high,high,high,low,no,yes
478,7,4,jul,sun,high,low,low,high,low,high,high,no,yes
479,7,4,jul,mon,low,low,low,low,high,high,high,no,yes
480,9,9,jul,thu,high,low,high,high,high,low,high,no,yes
481,4,3,jul,thu,high,low,high,high,high,low,high,no,no
482,3,4,aug,sun,high,low,high,high,high,low,high,no,yes
483,8,6,aug,sun,high,low,high,high,high,low,high,no,no
484,2,5,aug,sun,high,low,high,high,high,low,low,no,yes
485,2,4,aug,mon,high,low,high,high,high,low,low,no,yes
486,5,4,aug,tue,high,low,high,high,high,low,high,no,yes
487,5,4,aug,tue,high,low,high,high,high,low,low,no,yes
488,4,4,aug,tue,high,low,high,high,high,high,high,no,yes
489,4,4,aug,wed,high,low,high,high,high,high,low,no,no
490,4,4,aug,wed,high,low,high,high,high,low,low,no,no
491,4,4,aug,thu,high,low,high,high,high,low,high,no,no
492,1,3,aug,fri,high,low,high,high,high,low,low,no,no
493,1,3,aug,fri,high,low,high,high,high,low,high,no,yes
494,6,6,aug,sat,high,low,high,high,high,low,high,no,yes
495,6,6,aug,mon,high,low,high,high,high,low,low,no,no
496,4,5,aug,mon,high,low,high,high,high,low,low,no,yes
497,3,4,aug,tue,high,low,high,high,high,low,low,no,yes
498,6,5,aug,tue,high,low,high,high,high,low,low,no,yes
499,7,5,aug,tue,high,low,high,high,high,high,high,yes,yes
500,8,6,aug,tue,high,low,high,high,high,high,high,yes,no
501,7,5,aug,tue,high,low,high,high,high,high,high,yes,no
502,4,4,aug,tue,high,low,high,high,high,high,high,yes,no
503,2,4,aug,wed,high,low,high,high,high,low,high,no,yes
504,4,3,aug,wed,high,low,high,high,high,low,high,no,yes
505,1,2,aug,thu,high,low,high,high,high,low,low,no,yes
506,1,2,aug,fri,high,low,high,low,low,high,high,no,no
507,2,4,aug,fri,high,low,high,low,high,low,low,no,no
508,1,2,aug,fri,high,low,high,low,high,low,low,no,no
509,5,4,aug,fri,high,low,high,low,high,high,high,yes,yes
510,6,5,aug,fri,high,low,high,low,low,high,high,no,yes
511,8,6,aug,sun,low,low,high,low,high,low,low,no,no
512,4,3,aug,sun,low,low,high,low,high,low,low,no,yes
513,2,4,aug,sun,low,low,high,low,high,high,high,no,yes
514,7,4,aug,sun,low,low,high,low,high,high,high,no,yes
515,1,4,aug,sat,high,low,high,high,high,low,low,no,no
516,6,3,nov,tue,low,low,low,low,low,low,high,no,no
